episode,step,robot_x,robot_y,battery,nearest_waste_x,nearest_waste_y,distance,progress,action,reward,done,description
0,1,50,50,100.0,43,41,11.40175425099138,0.0,0,-0.5,False,"Episode 0 langkah 1: Robot di (50,50), baterai 100.0%, sampah terdekat di (43,41) jarak 11.40, progress 0.0%. Aksi: Utara, reward: -0.50, selesai: Tidak."
0,2,50,49,99.5,43,41,10.63014581273465,0.0,0,-0.5,False,"Episode 0 langkah 2: Robot di (50,49), baterai 99.5%, sampah terdekat di (43,41) jarak 10.63, progress 0.0%. Aksi: Utara, reward: -0.50, selesai: Tidak."
0,3,50,48,99.0,43,41,9.899494936611665,0.0,0,-0.5,False,"Episode 0 langkah 3: Robot di (50,48), baterai 99.0%, sampah terdekat di (43,41) jarak 9.90, progress 0.0%. Aksi: Utara, reward: -0.50, selesai: Tidak."
0,4,50,47,98.5,43,41,9.219544457292887,0.0,3,-0.5,False,"Episode 0 langkah 4: Robot di (50,47), baterai 98.5%, sampah terdekat di (43,41) jarak 9.22, progress 0.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,5,49,47,98.0,43,41,8.48528137423857,0.0,0,-0.5,False,"Episode 0 langkah 5: Robot di (49,47), baterai 98.0%, sampah terdekat di (43,41) jarak 8.49, progress 0.0%. Aksi: Utara, reward: -0.50, selesai: Tidak."
0,6,49,46,97.5,43,41,7.810249675906654,0.0,3,-0.5,False,"Episode 0 langkah 6: Robot di (49,46), baterai 97.5%, sampah terdekat di (43,41) jarak 7.81, progress 0.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,7,48,46,97.0,43,41,7.0710678118654755,0.0,0,-0.5,False,"Episode 0 langkah 7: Robot di (48,46), baterai 97.0%, sampah terdekat di (43,41) jarak 7.07, progress 0.0%. Aksi: Utara, reward: -0.50, selesai: Tidak."
0,8,48,45,96.5,43,41,6.4031242374328485,0.0,3,-0.5,False,"Episode 0 langkah 8: Robot di (48,45), baterai 96.5%, sampah terdekat di (43,41) jarak 6.40, progress 0.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,9,47,45,96.0,43,41,5.656854249492381,0.0,0,-0.5,False,"Episode 0 langkah 9: Robot di (47,45), baterai 96.0%, sampah terdekat di (43,41) jarak 5.66, progress 0.0%. Aksi: Utara, reward: -0.50, selesai: Tidak."
0,10,47,44,95.5,43,41,5.0,0.0,3,1.5,False,"Episode 0 langkah 10: Robot di (47,44), baterai 95.5%, sampah terdekat di (43,41) jarak 5.00, progress 0.0%. Aksi: Barat, reward: 1.50, selesai: Tidak."
0,11,46,44,95.0,43,41,4.242640687119285,0.0,0,1.5,False,"Episode 0 langkah 11: Robot di (46,44), baterai 95.0%, sampah terdekat di (43,41) jarak 4.24, progress 0.0%. Aksi: Utara, reward: 1.50, selesai: Tidak."
0,12,46,43,94.5,43,41,3.605551275463989,0.0,3,1.5,False,"Episode 0 langkah 12: Robot di (46,43), baterai 94.5%, sampah terdekat di (43,41) jarak 3.61, progress 0.0%. Aksi: Barat, reward: 1.50, selesai: Tidak."
0,13,45,43,94.0,43,41,2.8284271247461903,0.0,0,1.5,False,"Episode 0 langkah 13: Robot di (45,43), baterai 94.0%, sampah terdekat di (43,41) jarak 2.83, progress 0.0%. Aksi: Utara, reward: 1.50, selesai: Tidak."
0,14,45,42,93.5,43,41,2.23606797749979,0.0,3,1.5,False,"Episode 0 langkah 14: Robot di (45,42), baterai 93.5%, sampah terdekat di (43,41) jarak 2.24, progress 0.0%. Aksi: Barat, reward: 1.50, selesai: Tidak."
0,15,44,42,93.0,43,41,1.4142135623730951,0.0,4,9.5,False,"Episode 0 langkah 15: Robot di (44,42), baterai 93.0%, sampah terdekat di (43,41) jarak 1.41, progress 0.0%. Aksi: Kumpulkan, reward: 9.50, selesai: Tidak."
0,16,44,42,92.5,41,65,23.194827009486403,10.0,1,-0.5,False,"Episode 0 langkah 16: Robot di (44,42), baterai 92.5%, sampah terdekat di (41,65) jarak 23.19, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,17,44,43,92.0,41,65,22.20360331117452,10.0,1,-0.5,False,"Episode 0 langkah 17: Robot di (44,43), baterai 92.0%, sampah terdekat di (41,65) jarak 22.20, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,18,44,44,91.5,41,65,21.213203435596427,10.0,1,-0.5,False,"Episode 0 langkah 18: Robot di (44,44), baterai 91.5%, sampah terdekat di (41,65) jarak 21.21, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,19,44,45,91.0,41,65,20.223748416156685,10.0,1,-0.5,False,"Episode 0 langkah 19: Robot di (44,45), baterai 91.0%, sampah terdekat di (41,65) jarak 20.22, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,20,44,46,90.5,41,65,19.235384061671343,10.0,1,-0.5,False,"Episode 0 langkah 20: Robot di (44,46), baterai 90.5%, sampah terdekat di (41,65) jarak 19.24, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,21,44,47,90.0,41,65,18.24828759089466,10.0,1,-0.5,False,"Episode 0 langkah 21: Robot di (44,47), baterai 90.0%, sampah terdekat di (41,65) jarak 18.25, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,22,44,48,89.5,41,65,17.26267650163207,10.0,1,-0.5,False,"Episode 0 langkah 22: Robot di (44,48), baterai 89.5%, sampah terdekat di (41,65) jarak 17.26, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,23,44,49,89.0,41,65,16.278820596099706,10.0,1,-0.5,False,"Episode 0 langkah 23: Robot di (44,49), baterai 89.0%, sampah terdekat di (41,65) jarak 16.28, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,24,44,50,88.5,41,65,15.297058540778355,10.0,1,-0.5,False,"Episode 0 langkah 24: Robot di (44,50), baterai 88.5%, sampah terdekat di (41,65) jarak 15.30, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,25,44,51,88.0,41,65,14.317821063276353,10.0,1,-0.5,False,"Episode 0 langkah 25: Robot di (44,51), baterai 88.0%, sampah terdekat di (41,65) jarak 14.32, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,26,44,52,87.5,41,65,13.341664064126334,10.0,1,-0.5,False,"Episode 0 langkah 26: Robot di (44,52), baterai 87.5%, sampah terdekat di (41,65) jarak 13.34, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,27,44,53,87.0,41,65,12.36931687685298,10.0,1,-0.5,False,"Episode 0 langkah 27: Robot di (44,53), baterai 87.0%, sampah terdekat di (41,65) jarak 12.37, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,28,44,54,86.5,41,65,11.40175425099138,10.0,1,-0.5,False,"Episode 0 langkah 28: Robot di (44,54), baterai 86.5%, sampah terdekat di (41,65) jarak 11.40, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,29,44,55,86.0,41,65,10.44030650891055,10.0,1,-0.5,False,"Episode 0 langkah 29: Robot di (44,55), baterai 86.0%, sampah terdekat di (41,65) jarak 10.44, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,30,44,56,85.5,41,65,9.486832980505138,10.0,1,-0.5,False,"Episode 0 langkah 30: Robot di (44,56), baterai 85.5%, sampah terdekat di (41,65) jarak 9.49, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,31,44,57,85.0,41,65,8.54400374531753,10.0,1,-0.5,False,"Episode 0 langkah 31: Robot di (44,57), baterai 85.0%, sampah terdekat di (41,65) jarak 8.54, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,32,44,58,84.5,41,65,7.615773105863909,10.0,1,-0.5,False,"Episode 0 langkah 32: Robot di (44,58), baterai 84.5%, sampah terdekat di (41,65) jarak 7.62, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,33,44,59,84.0,41,65,6.708203932499369,10.0,1,-0.5,False,"Episode 0 langkah 33: Robot di (44,59), baterai 84.0%, sampah terdekat di (41,65) jarak 6.71, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,34,44,60,83.5,41,65,5.830951894845301,10.0,1,-0.5,False,"Episode 0 langkah 34: Robot di (44,60), baterai 83.5%, sampah terdekat di (41,65) jarak 5.83, progress 10.0%. Aksi: Selatan, reward: -0.50, selesai: Tidak."
0,35,44,61,83.0,41,65,5.0,10.0,1,1.5,False,"Episode 0 langkah 35: Robot di (44,61), baterai 83.0%, sampah terdekat di (41,65) jarak 5.00, progress 10.0%. Aksi: Selatan, reward: 1.50, selesai: Tidak."
0,36,44,62,82.5,41,65,4.242640687119285,10.0,1,1.5,False,"Episode 0 langkah 36: Robot di (44,62), baterai 82.5%, sampah terdekat di (41,65) jarak 4.24, progress 10.0%. Aksi: Selatan, reward: 1.50, selesai: Tidak."
0,37,44,63,82.0,41,65,3.605551275463989,10.0,3,1.5,False,"Episode 0 langkah 37: Robot di (44,63), baterai 82.0%, sampah terdekat di (41,65) jarak 3.61, progress 10.0%. Aksi: Barat, reward: 1.50, selesai: Tidak."
0,38,43,63,81.5,41,65,2.8284271247461903,10.0,1,1.5,False,"Episode 0 langkah 38: Robot di (43,63), baterai 81.5%, sampah terdekat di (41,65) jarak 2.83, progress 10.0%. Aksi: Selatan, reward: 1.50, selesai: Tidak."
0,39,43,64,81.0,41,65,2.23606797749979,10.0,3,1.5,False,"Episode 0 langkah 39: Robot di (43,64), baterai 81.0%, sampah terdekat di (41,65) jarak 2.24, progress 10.0%. Aksi: Barat, reward: 1.50, selesai: Tidak."
0,40,42,64,80.5,41,65,1.4142135623730951,10.0,4,9.5,False,"Episode 0 langkah 40: Robot di (42,64), baterai 80.5%, sampah terdekat di (41,65) jarak 1.41, progress 10.0%. Aksi: Kumpulkan, reward: 9.50, selesai: Tidak."
0,41,42,64,80.0,16,50,29.5296461204668,20.0,3,-0.5,False,"Episode 0 langkah 41: Robot di (42,64), baterai 80.0%, sampah terdekat di (16,50) jarak 29.53, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,42,41,64,79.5,16,50,28.653097563788805,20.0,3,-0.5,False,"Episode 0 langkah 42: Robot di (41,64), baterai 79.5%, sampah terdekat di (16,50) jarak 28.65, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,43,40,64,79.0,16,50,27.784887978899608,20.0,3,-0.5,False,"Episode 0 langkah 43: Robot di (40,64), baterai 79.0%, sampah terdekat di (16,50) jarak 27.78, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,44,39,64,78.5,16,50,26.92582403567252,20.0,3,-0.5,False,"Episode 0 langkah 44: Robot di (39,64), baterai 78.5%, sampah terdekat di (16,50) jarak 26.93, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,45,38,64,78.0,16,50,26.076809620810597,20.0,3,-0.5,False,"Episode 0 langkah 45: Robot di (38,64), baterai 78.0%, sampah terdekat di (16,50) jarak 26.08, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,46,37,64,77.5,16,50,25.238858928247925,20.0,3,-0.5,False,"Episode 0 langkah 46: Robot di (37,64), baterai 77.5%, sampah terdekat di (16,50) jarak 25.24, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,47,36,64,77.0,16,50,24.413111231467404,20.0,3,-0.5,False,"Episode 0 langkah 47: Robot di (36,64), baterai 77.0%, sampah terdekat di (16,50) jarak 24.41, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,48,35,64,76.5,16,50,23.600847442411894,20.0,3,-0.5,False,"Episode 0 langkah 48: Robot di (35,64), baterai 76.5%, sampah terdekat di (16,50) jarak 23.60, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,49,34,64,76.0,16,50,22.80350850198276,20.0,3,-0.5,False,"Episode 0 langkah 49: Robot di (34,64), baterai 76.0%, sampah terdekat di (16,50) jarak 22.80, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,50,33,64,75.5,16,50,22.02271554554524,20.0,3,-0.5,False,"Episode 0 langkah 50: Robot di (33,64), baterai 75.5%, sampah terdekat di (16,50) jarak 22.02, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,51,32,64,75.0,16,50,21.2602916254693,20.0,3,-0.5,False,"Episode 0 langkah 51: Robot di (32,64), baterai 75.0%, sampah terdekat di (16,50) jarak 21.26, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,52,31,64,74.5,16,50,20.518284528683193,20.0,3,-0.5,False,"Episode 0 langkah 52: Robot di (31,64), baterai 74.5%, sampah terdekat di (16,50) jarak 20.52, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,53,30,64,74.0,16,50,19.79898987322333,20.0,0,-0.5,False,"Episode 0 langkah 53: Robot di (30,64), baterai 74.0%, sampah terdekat di (16,50) jarak 19.80, progress 20.0%. Aksi: Utara, reward: -0.50, selesai: Tidak."
0,54,30,63,73.5,16,50,19.1049731745428,20.0,3,-0.5,False,"Episode 0 langkah 54: Robot di (30,63), baterai 73.5%, sampah terdekat di (16,50) jarak 19.10, progress 20.0%. Aksi: Barat, reward: -0.50, selesai: Tidak."
0,55,29,63,73.0,16,50,18.384776310850235,20.0,0,-0.5,False,"Episode 0 langkah 55: Robot di (29,63), baterai 73.0%, sampah terdekat di (16,50) jarak 18.38, progress 20.0%. Aksi: Utara, reward: -0.50, selesai: Tidak."
